# ownerType	ownerId	imageHash	caption	isPrimary	displayOrder
STAY	25	premium_photo-1675745329954-9639d3b74bbf	Nyhavn canal house facade	true	0
STAY	25	premium_photo-1687960116497-0dc41e1808a2	Canal view from the window	false	1
STAY	26	photo-1445019980597-93fa8acb246c	Garden cottage exterior	true	0
STAY	26	photo-1455587734955-081b22074882	Lush Karen garden	false	1
STAY	27	photo-1495365200479-c4ed1d35e1aa	Copacabana beachfront balcony	true	0
STAY	27	photo-1496417263034-38ec4f0b665a	Wraparound balcony view	false	1
STAY	28	photo-1520250497591-112f2f40a3f4	Gangnam tower exterior	true	0
STAY	28	photo-1535827841776-24afc1e255ac	Rooftop bar at night	false	1
STAY	29	photo-1542314831-068cd1dbfeeb	Cedar cabin exterior	true	0
STAY	29	photo-1549294413-26f195200c16	Deck with harbor views	false	1
STAY	30	photo-1551882547-ff40c63fe5fa	Stone flat on the Royal Mile	true	0
STAY	30	photo-1566073771259-6a8506099945	Living room with castle view	false	1
STAY	31	photo-1584132967334-10e028bd69f7	Old Quarter tube house facade	true	0
STAY	31	photo-1611892440504-42a792e24d32	Hidden interior courtyard	false	1
STAY	32	photo-1618773928121-c32242e63f39	Danube-bank hotel facade	true	0
STAY	32	photo-1629140727571-9b5c6f6267b4	Buda Castle view	false	1
STAY	33	photo-1631049307264-da0ec9d70304	Timber lodge on Lake Wakatipu	true	0
STAY	33	premium_photo-1661929519129-7a76946c1d38	View of the Remarkables	false	1
STAY	34	premium_photo-1661964071015-d97428970584	Colonial house facade in Habana Vieja	true	0
STAY	34	premium_photo-1661964402307-02267d1423f5	Plant-filled interior patio	false	1
STAY	35	premium_photo-1675745329954-9639d3b74bbf	Market Square hotel facade	true	0
STAY	35	premium_photo-1687960116497-0dc41e1808a2	View of St. Mary's Basilica	false	1
ROOM	27	photo-1445019980597-93fa8acb246c	Tagus View Room	true	0
ROOM	28	photo-1455587734955-081b22074882	Tatami Twin	true	0
ROOM	29	photo-1495365200479-c4ed1d35e1aa	Zen Garden Suite	true	0
ROOM	30	photo-1496417263034-38ec4f0b665a	Machiya Penthouse	true	0
ROOM	31	photo-1520250497591-112f2f40a3f4	Palermo Loft Room	true	0
ROOM	32	photo-1535827841776-24afc1e255ac	Opera View Double	true	0
ROOM	33	photo-1542314831-068cd1dbfeeb	Ringstrasse Suite	true	0
ROOM	34	photo-1549294413-26f195200c16	Marina View King	true	0
ROOM	35	photo-1551882547-ff40c63fe5fa	Palm Suite	true	0
ROOM	36	photo-1566073771259-6a8506099945	Royal Penthouse	true	0
ROOM	37	photo-1584132967334-10e028bd69f7	Bay View Queen	true	0
ROOM	38	photo-1611892440504-42a792e24d32	Gardens Suite	true	0
ROOM	39	photo-1618773928121-c32242e63f39	Courtyard Room	true	0
ROOM	40	photo-1629140727571-9b5c6f6267b4	Old Town Double	true	0
ROOM	41	photo-1631049307264-da0ec9d70304	Astronomical Suite	true	0
ROOM	42	premium_photo-1661929519129-7a76946c1d38	Riverside Room	true	0
ROOM	43	premium_photo-1661964071015-d97428970584	Canal View Room	true	0
ROOM	44	premium_photo-1661964402307-02267d1423f5	Garden Cottage Room	true	0
ROOM	45	premium_photo-1675745329954-9639d3b74bbf	Beachfront Balcony Room	true	0
ROOM	46	premium_photo-1687960116497-0dc41e1808a2	Gangnam Standard	true	0
ROOM	47	photo-1445019980597-93fa8acb246c	Rooftop King	true	0
ROOM	48	photo-1455587734955-081b22074882	Executive Suite	true	0
ROOM	49	photo-1495365200479-c4ed1d35e1aa	Park View Room	true	0
ROOM	50	photo-1496417263034-38ec4f0b665a	Royal Mile Room	true	0
ROOM	51	photo-1520250497591-112f2f40a3f4	Courtyard Suite	true	0
ROOM	52	photo-1535827841776-24afc1e255ac	Danube View Double	true	0
ROOM	53	photo-1542314831-068cd1dbfeeb	Castle View Suite	true	0
ROOM	54	photo-1549294413-26f195200c16	Remarkables View Room	true	0
ROOM	55	photo-1551882547-ff40c63fe5fa	Patio Room	true	0
ROOM	56	photo-1566073771259-6a8506099945	Market Square Double	true	0
ROOM	57	photo-1584132967334-10e028bd69f7	Basilica View Suite	true	0
STAY	36	photo-1445019980597-93fa8acb246c	Hillside apartment exterior on Cerro Alegre	true	0
STAY	36	photo-1455587734955-081b22074882	View over Valparaíso's colorful rooftops	false	1
STAY	37	photo-1495365200479-c4ed1d35e1aa	Heritage building facade on Cerro Concepción	true	0
STAY	37	photo-1496417263034-38ec4f0b665a	Guest room with street art view	false	1
STAY	38	photo-1520250497591-112f2f40a3f4	Industrial-chic loft near the harbor	true	0
STAY	38	photo-1535827841776-24afc1e255ac	View toward the naval museum	false	1
STAY	39	photo-1542314831-068cd1dbfeeb	Artist house exterior filled with murals	true	0
STAY	39	photo-1549294413-26f195200c16	Eclectic living room decorated with local art	false	1
STAY	40	photo-1551882547-ff40c63fe5fa	Capsule hotel entrance near Shibuya Crossing	true	0
STAY	40	photo-1566073771259-6a8506099945	Row of sleeping capsules	false	1
STAY	41	photo-1584132967334-10e028bd69f7	Traditional inn exterior near Senso-ji Temple	true	0
STAY	41	photo-1611892440504-42a792e24d32	Tatami room with futon bedding	false	1
STAY	42	photo-1618773928121-c32242e63f39	Concept hotel facade near Takeshita Street	true	0
STAY	42	photo-1629140727571-9b5c6f6267b4	Art installation in the lobby	false	1
STAY	43	photo-1631049307264-da0ec9d70304	Stone-walled apartment in the Barri Gòtic	true	0
STAY	43	premium_photo-1661929519129-7a76946c1d38	View toward the cathedral	false	1
STAY	44	premium_photo-1661964071015-d97428970584	Hotel rooftop facing the Sagrada Família	true	0
STAY	44	premium_photo-1661964402307-02267d1423f5	Room with a basilica view	false	1
STAY	45	premium_photo-1675745329954-9639d3b74bbf	Beach house a block from the sand	true	0
STAY	45	premium_photo-1687960116497-0dc41e1808a2	Rooftop terrace at sunset	false	1
STAY	46	photo-1445019980597-93fa8acb246c	Studio building near Place du Tertre	true	0
STAY	46	photo-1455587734955-081b22074882	Cozy interior with Montmartre charm	false	1
STAY	47	photo-1495365200479-c4ed1d35e1aa	Hôtel particulier facade in Le Marais	true	0
STAY	47	photo-1496417263034-38ec4f0b665a	Elegant guest room interior	false	1
STAY	48	photo-1520250497591-112f2f40a3f4	Canal-side apartment in the Jordaan	true	0
STAY	48	photo-1535827841776-24afc1e255ac	View of the Egelantiersgracht canal	false	1
ROOM	58	photo-1445019980597-93fa8acb246c	Hillside Studio	true	0
ROOM	59	photo-1455587734955-081b22074882	Colorful Facade Double	true	0
ROOM	60	photo-1495365200479-c4ed1d35e1aa	Cerro View Suite	true	0
ROOM	61	photo-1496417263034-38ec4f0b665a	Portside Loft Room	true	0
ROOM	62	photo-1520250497591-112f2f40a3f4	Artist Studio Room	true	0
ROOM	63	photo-1535827841776-24afc1e255ac	Capsule Pod	true	0
ROOM	64	photo-1542314831-068cd1dbfeeb	Deluxe Capsule Suite	true	0
ROOM	65	photo-1549294413-26f195200c16	Tatami Room	true	0
ROOM	66	photo-1551882547-ff40c63fe5fa	Pop Art Double	true	0
ROOM	67	photo-1566073771259-6a8506099945	Design Loft Suite	true	0
ROOM	68	photo-1584132967334-10e028bd69f7	Gothic Quarter Room	true	0
ROOM	69	photo-1611892440504-42a792e24d32	Basilica View Double	true	0
ROOM	70	photo-1618773928121-c32242e63f39	Gaudí Suite	true	0
ROOM	71	photo-1629140727571-9b5c6f6267b4	Beach House Room	true	0
ROOM	72	photo-1631049307264-da0ec9d70304	Artist Studio	true	0
ROOM	73	premium_photo-1661929519129-7a76946c1d38	Marais Classic Double	true	0
ROOM	74	premium_photo-1661964071015-d97428970584	Marais Suite	true	0
ROOM	75	premium_photo-1661964402307-02267d1423f5	Canal View Studio	true	0
